"用户ID","宠物档案","健康状况","饮食与体重","行为与建议","时间"
"1001","金毛 | 3岁 | 65㎡公寓","体检正常 | 髋关节发育良好 | 牙齿轻度牙结石","日均喂食380g | 体重28.5kg(标准) | 饮水充足","日均外出2次共90分钟 | 掉毛季中度 | 服从性优良","2025-01"
"1010","拉布拉多 | 4岁 | 130㎡四居","耳道健康 | 髋关节良好 | 牙齿健康","日均喂食380g | 体重28.0kg(标准) | 饮水充足","日均外出2次共110分钟 | 服从性优良 | 扑人行为改善","2025-03"
"1001","金毛 | 3岁 | 65㎡公寓","体检正常 | 髋关节发育良好 | 牙齿健康","日均喂食380g | 体重28.5kg(标准) | 饮水充足","日均外出2次共110分钟 | 掉毛高峰 | 需加强梳毛","2025-04"
"1002","英短 | 2岁 | 70㎡公寓","体检正常 | 体重超标0.6kg | 牙齿清洁","日均喂食60g | 体重5.1kg(偏胖) | 饮水略增","活动量恢复 | 猫爬架使用增加 | 抓沙发减少","2025-04"
"1003","柯基 | 5岁 | 90㎡三居","腰椎稳定 | 体重正常 | 耳道健康","日均喂食250g | 体重11.2kg(标准) | 食欲稳定","日均外出3次共90分钟 | 掉毛高峰 | 跳跃控制良好","2025-04"
"1004","布偶 | 4岁 | 85㎡三居","体检正常 | 毛球症预防中 | 泪痕无","日均喂食72g | 体重4.4kg(标准) | 饮水正常","活动量正常 | 化毛膏规律 | 换毛期掉毛增加","2025-04"
"1005","泰迪 | 8岁 | 120㎡","牙齿已洁牙 | 心脏B1期 | 关节僵硬改善","日均喂食145g | 体重5.7kg(标准) | 饮水正常","日均外出2次共50分钟 | 运动量增加 | 关节状态好转","2025-04"
"1006","边牧 | 2岁 | 150㎡别墅","体检全项优秀 | 体能充沛 | 无异常","日均喂食430g | 体重19.5kg(标准) | 饮水充足","日均活动140分钟+ | 户外训练增加 | 高能量犬种","2025-04"
"1007","美短 | 1岁 | 55㎡一居","体检正常 | 体重标准 | 牙齿健康","日均喂食62g | 体重3.9kg(标准) | 饮水正常","活泼好动 | 玩耍时间增加 | 进入青年期","2025-04"
"1008","比熊 | 6岁 | 100㎡三居","白内障稳定 | 牙齿良好 | 皮肤健康","日均喂食180g | 体重5.1kg(标准) | 饮水正常","日均外出2次共60分钟 | 泪痕轻微 | 持续鱼油补充","2025-04"
"1009","橘猫 | 7岁 | 80㎡两居","体重接近标准 | 关节尚可 | 牙齿需关注","日均喂食65g | 体重5.3kg(接近标准) | 饮水正常","活动量正常 | 精神状态好 | 减重目标接近","2025-04"
"1010","拉布拉多 | 4岁 | 130㎡四居","耳道健康 | 髋关节良好 | 牙齿健康","日均喂食380g | 体重28.0kg(标准) | 饮水充足","日均外出2次共115分钟 | 服从性优良 | 行为稳定","2025-04"
"1001","金毛 | 3岁 | 65㎡公寓","体检正常 | 髋关节发育良好 | 牙齿健康","日均喂食380g | 体重28.6kg(标准) | 饮水充足","日均外出2次共120分钟 | 掉毛高峰持续 | 服从性优良","2025-05"
"1002","英短 | 2岁 | 70㎡公寓","体检正常 | 体重超标0.5kg | 牙齿清洁","日均喂食58g | 体重5.0kg(微胖) | 饮水正常","活动量良好 | 猫爬架使用规律 | 抓沙发减少","2025-05"
"1003","柯基 | 5岁 | 90㎡三居","腰椎稳定 | 体重正常 | 耳道健康","日均喂食250g | 体重11.1kg(标准) | 食欲稳定","日均外出3次共95分钟 | 掉毛高峰 | 跳跃控制良好","2025-05"
"1004","布偶 | 4岁 | 85㎡三居","体检正常 | 毛球症预防中 | 泪痕无","日均喂食72g | 体重4.3kg(标准) | 饮水正常","活动量正常 | 化毛膏规律 | 换毛期掉毛明显","2025-05"
"1005","泰迪 | 8岁 | 120㎡","牙齿健康 | 心脏B1期 | 关节状态良好","日均喂食145g | 体重5.7kg(标准) | 饮水正常","日均外出2次共55分钟 | 运动量达标 | 关节改善明显","2025-05"
"1006","边牧 | 2岁 | 150㎡别墅","体检全项优秀 | 体能充沛 | 无异常","日均喂食430g | 体重19.5kg(标准) | 饮水充足","日均活动150分钟+ | 游泳训练 | 高能量犬种","2025-05"
"1007","美短 | 1岁 | 55㎡一居","体检正常 | 体重标准 | 牙齿健康","日均喂食62g | 体重4.0kg(标准) | 饮水正常","活泼好动 | 玩耍时间稳定 | 性格稳定","2025-05"
"1008","比熊 | 6岁 | 100㎡三居","白内障稳定 | 牙齿良好 | 皮肤健康","日均喂食180g | 体重5.0kg(标准) | 饮水正常","日均外出2次共65分钟 | 泪痕轻微 | 持续鱼油补充","2025-05"
"1009","橘猫 | 7岁 | 80㎡两居","体重达标准 | 关节尚可 | 牙齿需关注","日均喂食63g | 体重5.1kg(标准) | 饮水正常","活动量正常 | 精神状态好 | 减重成功","2025-05"
"1010","拉布拉多 | 4岁 | 130㎡四居","耳道健康 | 髋关节良好 | 牙齿健康","日均喂食380g | 体重28.0kg(标准) | 饮水充足","日均外出2次共120分钟 | 服从性优良 | 行为稳定","2025-05"
"1001","金毛 | 3岁 | 65㎡公寓","夏季体检正常 | 髋关节发育良好 | 牙齿健康","日均喂食370g | 体重28.4kg(标准) | 饮水量增加","日均外出2次共120分钟 | 早出门避暑 | 服从性优良","2025-06"
"1002","英短 | 2岁 | 70㎡公寓","体检正常 | 体重微胖0.3kg | 牙齿清洁","日均喂食58g | 体重4.8kg(标准) | 饮水量增加","活动量下降(天气热) | 多在空调房 | 抓沙发偶发","2025-06"
"1003","柯基 | 5岁 | 90㎡三居","腰椎稳定 | 体重正常 | 耳道健康","日均喂食245g | 体重11.0kg(标准) | 食欲微降","日均外出3次共80分钟 | 避开正午 | 掉毛中度","2025-06"
"1004","布偶 | 4岁 | 85㎡三居","体检正常 | 毛球症预防中 | 泪痕无","日均喂食70g | 体重4.3kg(标准) | 饮水略增","活动量下降 | 化毛膏规律 | 怕热喜空调","2025-06"
"1005","泰迪 | 8岁 | 120㎡","牙齿健康 | 心脏B1期稳定 | 关节状态良好","日均喂食142g | 体重5.6kg(标准) | 饮水量增加","日均外出2次共40分钟 | 清晨傍晚遛 | 避免高温","2025-06"
"1006","边牧 | 2岁 | 150㎡别墅","体检全项优秀 | 体能充沛 | 无异常","日均喂食420g | 体重19.4kg(标准) | 饮水量大增","日均活动130分钟+ | 室内训练为主 | 防中暑","2025-06"
"1007","美短 | 1岁 | 55㎡一居","体检正常 | 体重标准 | 牙齿健康","日均喂食60g | 体重4.0kg(标准) | 饮水略增","活泼好动 | 夜间活跃 | 白天睡觉","2025-06"
"1008","比熊 | 6岁 | 100㎡三居","白内障稳定 | 牙齿良好 | 皮肤健康","日均喂食175g | 体重5.0kg(标准) | 饮水量增加","日均外出2次共50分钟 | 早晨遛弯 | 剪毛散热","2025-06"
"1009","橘猫 | 7岁 | 80㎡两居","体重标准 | 关节尚可 | 牙齿需关注","日均喂食63g | 体重5.1kg(标准) | 饮水量增加","活动量下降 | 多休息 | 精神正常","2025-06"
"1010","拉布拉多 | 4岁 | 130㎡四居","耳道健康 | 髋关节良好 | 牙齿健康","日均喂食370g | 体重27.8kg(标准) | 饮水量大增","日均外出2次共100分钟 | 早晚遛 | 防中暑","2025-06"
"1001","金毛 | 3岁 | 65㎡公寓","体检正常 | 髋关节发育良好 | 牙齿健康","日均喂食370g | 体重28.5kg(标准) | 饮水充足","日均外出2次共115分钟 | 早晚避暑 | 服从性优良","2025-07"
"1002","英短 | 2岁 | 70㎡公寓","体检正常 | 体重标准 | 牙齿清洁","日均喂食58g | 体重4.8kg(标准) | 饮水充足","活动量偏低 | 多在空调房 | 抓沙发偶发","2025-07"
"1003","柯基 | 5岁 | 90㎡三居","腰椎稳定 | 体重正常 | 耳道健康","日均喂食245g | 体重11.0kg(标准) | 食欲稳定","日均外出3次共75分钟 | 早出晚归 | 掉毛中度","2025-07"
"1004","布偶 | 4岁 | 85㎡三居","体检正常 | 毛球症预防中 | 泪痕无","日均喂食70g | 体重4.3kg(标准) | 饮水充足","活动量低 | 化毛膏规律 | 全天空调","2025-07"
"1005","泰迪 | 8岁 | 120㎡","牙齿健康 | 心脏B1期稳定 | 关节状态良好","日均喂食142g | 体重5.6kg(标准) | 饮水充足","日均外出2次共35分钟 | 清晨傍晚 | 严格避暑","2025-07"
"1006","边牧 | 2岁 | 150㎡别墅","体检全项优秀 | 体能充沛 | 无异常","日均喂食420g | 体重19.4kg(标准) | 饮水充足","日均活动110分钟+ | 室内为主 | 空调房训练","2025-07"
"1007","美短 | 1岁 | 55㎡一居","体检正常 | 体重标准 | 牙齿健康","日均喂食60g | 体重4.0kg(标准) | 饮水充足","活泼好动 | 夜间活跃 | 白天睡觉","2025-07"
"1008","比熊 | 6岁 | 100㎡三居","白内障稳定 | 牙齿良好 | 皮肤健康","日均喂食175g | 体重5.0kg(标准) | 饮水充足","日均外出2次共45分钟 | 早晨遛弯 | 修剪被毛","2025-07"
"1009","橘猫 | 7岁 | 80㎡两居","体重标准 | 关节尚可 | 牙齿需关注","日均喂食63g | 体重5.1kg(标准) | 饮水充足","活动量低 | 多休息 | 精神正常","2025-07"
"1010","拉布拉多 | 4岁 | 130㎡四居","耳道健康 | 髋关节良好 | 牙齿健康","日均喂食370g | 体重27.8kg(标准) | 饮水充足","日均外出2次共95分钟 | 早晚遛 | 游泳降温","2025-07"
"1001","金毛 | 3岁 | 65㎡公寓","体检正常 | 髋关节发育良好 | 牙齿健康","日均喂食370g | 体重28.5kg(标准) | 饮水充足","日均外出2次共110分钟 | 早晚避暑 | 服从性优良","2025-08"
"1002","英短 | 2岁 | 70㎡公寓","体检正常 | 体重标准 | 牙齿清洁","日均喂食58g | 体重4.8kg(标准) | 饮水充足","活动量偏低 | 多在空调房 | 抓沙发偶发","2025-08"
"1003","柯基 | 5岁 | 90㎡三居","腰椎稳定 | 体重正常 | 耳道健康","日均喂食245g | 体重11.0kg(标准) | 食欲稳定","日均外出3次共70分钟 | 早出晚归 | 掉毛中度","2025-08"
"1004","布偶 | 4岁 | 85㎡三居","体检正常 | 毛球症预防中 | 泪痕无","日均喂食70g | 体重4.3kg(标准) | 饮水充足","活动量低 | 化毛膏规律 | 全天空调","2025-08"
"1005","泰迪 | 8岁 | 120㎡","牙齿健康 | 心脏B1期稳定 | 关节状态良好","日均喂食142g | 体重5.6kg(标准) | 饮水充足","日均外出2次共35分钟 | 清晨傍晚 | 严格避暑","2025-08"
"1006","边牧 | 2岁 | 150㎡别墅","体检全项优秀 | 体能充沛 | 无异常","日均喂食420g | 体重19.4kg(标准) | 饮水充足","日均活动100分钟+ | 室内为主 | 防中暑","2025-08"
"1007","美短 | 1岁 | 55㎡一居","体检正常 | 体重标准 | 牙齿健康","日均喂食60g | 体重4.0kg(标准) | 饮水充足","活泼好动 | 夜间活跃 | 白天睡觉","2025-08"
"1008","比熊 | 6岁 | 100㎡三居","白内障稳定 | 牙齿良好 | 皮肤健康","日均喂食175g | 体重5.0kg(标准) | 饮水充足","日均外出2次共45分钟 | 早晨遛弯 | 修剪被毛","2025-08"
"1009","橘猫 | 7岁 | 80㎡两居","体重标准 | 关节尚可 | 牙齿需关注","日均喂食63g | 体重5.1kg(标准) | 饮水充足","活动量低 | 多休息 | 精神正常","2025-08"
"1010","拉布拉多 | 4岁 | 130㎡四居","耳道健康 | 髋关节良好 | 牙齿健康","日均喂食370g | 体重27.8kg(标准) | 饮水充足","日均外出2次共90分钟 | 早晚遛 | 游泳降温","2025-08"
"1001","金毛 | 3岁 | 65㎡公寓","体检正常 | 髋关节发育良好 | 牙齿健康","日均喂食380g | 体重28.5kg(标准) | 饮水充足","日均外出2次共100分钟 | 秋季掉毛开始 | 服从性优良","2025-09"
"1002","英短 | 2岁 | 70㎡公寓","体检正常 | 体重标准 | 牙齿清洁","日均喂食60g | 体重4.8kg(标准) | 饮水正常","活动量恢复 | 猫爬架使用增加 | 抓沙发减少","2025-09"
"1003","柯基 | 5岁 | 90㎡三居","腰椎稳定 | 体重正常 | 耳道健康","日均喂食250g | 体重11.1kg(标准) | 食欲稳定","日均外出3次共90分钟 | 掉毛换季 | 跳跃控制良好","2025-09"
"1004","布偶 | 4岁 | 85㎡三居","体检正常 | 毛球症预防中 | 泪痕无","日均喂食72g | 体重4.4kg(标准) | 饮水正常","活动量正常 | 化毛膏规律 | 换毛期","2025-09"
"1005","泰迪 | 8岁 | 120㎡","牙齿健康 | 心脏B1期稳定 | 关节状态良好","日均喂食145g | 体重5.7kg(标准) | 饮水正常","日均外出2次共55分钟 | 运动量达标 | 状态良好","2025-09"
"1006","边牧 | 2岁 | 150㎡别墅","体检全项优秀 | 体能充沛 | 无异常","日均喂食430g | 体重19.5kg(标准) | 饮水充足","日均活动140分钟+ | 户外训练 | 高能量犬种","2025-09"
"1007","美短 | 1岁 | 55㎡一居","体检正常 | 体重标准 | 牙齿健康","日均喂食62g | 体重4.0kg(标准) | 饮水正常","活泼好动 | 玩耍时间增加 | 性格稳定","2025-09"
"1008","比熊 | 6岁 | 100㎡三居","白内障稳定 | 牙齿良好 | 皮肤健康","日均喂食180g | 体重5.1kg(标准) | 饮水正常","日均外出2次共65分钟 | 泪痕轻微 | 持续鱼油补充","2025-09"
"1009","橘猫 | 7岁 | 80㎡两居","体重标准 | 关节尚可 | 牙齿需关注","日均喂食63g | 体重5.1kg(标准) | 饮水正常","活动量正常 | 精神状态好 | 状态稳定","2025-09"
"1010","拉布拉多 | 4岁 | 130㎡四居","耳道健康 | 髋关节良好 | 牙齿健康","日均喂食380g | 体重28.0kg(标准) | 饮水充足","日均外出2次共115分钟 | 服从性优良 | 行为稳定","2025-09"
"1001","金毛 | 3岁 | 65㎡公寓","体检正常 | 髋关节发育良好 | 牙齿健康","日均喂食380g | 体重28.5kg(标准) | 饮水充足","日均外出2次共95分钟 | 秋季掉毛明显 | 服从性优良","2025-10"
"1002","英短 | 2岁 | 70㎡公寓","体检正常 | 体重标准 | 牙齿清洁","日均喂食62g | 体重4.9kg(标准) | 饮水正常","活动量良好 | 猫爬架使用规律 | 抓沙发偶发","2025-10"
"1003","柯基 | 5岁 | 90㎡三居","腰椎稳定 | 体重正常 | 耳道健康","日均喂食255g | 体重11.2kg(标准) | 食欲稳定","日均外出3次共85分钟 | 掉毛明显 | 跳跃控制良好","2025-10"
"1004","布偶 | 4岁 | 85㎡三居","体检正常 | 毛球症预防中 | 泪痕无","日均喂食72g | 体重4.4kg(标准) | 饮水正常","活动量正常 | 化毛膏规律 | 换毛期持续","2025-10"
"1005","泰迪 | 8岁 | 120㎡","牙齿健康 | 心脏B1期稳定 | 关节状态良好","日均喂食145g | 体重5.7kg(标准) | 饮水正常","日均外出2次共50分钟 | 运动量达标 | 状态良好","2025-10"
"1006","边牧 | 2岁 | 150㎡别墅","体检全项优秀 | 体能充沛 | 无异常","日均喂食430g | 体重19.5kg(标准) | 饮水充足","日均活动130分钟+ | 敏捷训练 | 高能量犬种","2025-10"
"1007","美短 | 1岁 | 55㎡一居","体检正常 | 体重标准 | 牙齿健康","日均喂食62g | 体重4.0kg(标准) | 饮水正常","活泼好动 | 玩耍时间稳定 | 进入稳定期","2025-10"
"1008","比熊 | 6岁 | 100㎡三居","白内障稳定 | 牙齿良好 | 皮肤健康","日均喂食180g | 体重5.1kg(标准) | 饮水正常","日均外出2次共60分钟 | 泪痕轻微 | 持续鱼油补充","2025-10"
"1009","橘猫 | 7岁 | 80㎡两居","体重标准 | 关节尚可 | 牙齿需关注","日均喂食63g | 体重5.1kg(标准) | 饮水正常","活动量正常 | 精神状态好 | 状态稳定","2025-10"
"1010","拉布拉多 | 4岁 | 130㎡四居","耳道健康 | 髋关节良好 | 牙齿健康","日均喂食380g | 体重28.0kg(标准) | 饮水充足","日均外出2次共110分钟 | 服从性优良 | 行为稳定","2025-10"
"1001","金毛 | 3岁 | 65㎡公寓","体检正常 | 髋关节发育良好 | 牙齿健康","日均喂食380g | 体重28.5kg(标准) | 饮水充足","日均外出2次共90分钟 | 掉毛减少 | 服从性优良","2025-11"
"1002","英短 | 2岁 | 70㎡公寓","体检正常 | 体重标准 | 牙齿清洁","日均喂食62g | 体重4.9kg(标准) | 饮水正常","活动量良好 | 猫爬架使用规律 | 抓沙发偶发","2025-11"
"1003","柯基 | 5岁 | 90㎡三居","腰椎稳定 | 体重正常 | 耳道健康","日均喂食255g | 体重11.2kg(标准) | 食欲稳定","日均外出3次共75分钟 | 掉毛减少 | 跳跃控制良好","2025-11"
"1004","布偶 | 4岁 | 85㎡三居","体检正常 | 毛球症预防中 | 泪痕无","日均喂食72g | 体重4.4kg(标准) | 饮水正常","活动量正常 | 化毛膏规律 | 进入冬季","2025-11"
"1005","泰迪 | 8岁 | 120㎡","牙齿健康 | 心脏B1期稳定 | 关节僵硬偶发(降温)","日均喂食145g | 体重5.7kg(标准) | 饮水正常","日均外出2次共45分钟 | 运动量略降 | 注意保暖","2025-11"
"1006","边牧 | 2岁 | 150㎡别墅","体检全项优秀 | 体能充沛 | 无异常","日均喂食430g | 体重19.5kg(标准) | 饮水充足","日均活动120分钟+ | 户外训练 | 保暖","2025-11"
"1007","美短 | 1岁 | 55㎡一居","体检正常 | 体重标准 | 牙齿健康","日均喂食62g | 体重4.0kg(标准) | 饮水正常","活泼好动 | 喜暖 | 寻找暖气","2025-11"
"1008","比熊 | 6岁 | 100㎡三居","白内障稳定 | 牙齿良好 | 皮肤略干","日均喂食180g | 体重5.1kg(标准) | 饮水正常","日均外出2次共50分钟 | 泪痕轻微 | 增加护肤","2025-11"
"1009","橘猫 | 7岁 | 80㎡两居","体重标准 | 关节僵硬偶发(降温) | 牙齿需关注","日均喂食63g | 体重5.1kg(标准) | 饮水正常","活动量略降 | 嗜暖 | 注意保暖","2025-11"
"1010","拉布拉多 | 4岁 | 130㎡四居","耳道健康 | 髋关节良好 | 牙齿健康","日均喂食380g | 体重28.0kg(标准) | 饮水充足","日均外出2次共100分钟 | 服从性优良 | 行为稳定","2025-11"
"1001","金毛 | 3岁 | 65㎡公寓","冬季体检正常 | 髋关节发育良好 | 牙齿健康","日均喂食385g | 体重28.6kg(标准) | 饮水充足","日均外出2次共80分钟 | 冬季短时外出 | 注意保暖","2025-12"
"1002","英短 | 2岁 | 70㎡公寓","体检正常 | 体重标准 | 牙齿清洁","日均喂食62g | 体重4.9kg(标准) | 饮水正常","活动量下降 | 多在暖气房 | 抓沙发偶发","2025-12"
"1003","柯基 | 5岁 | 90㎡三居","腰椎稳定 | 体重正常 | 耳道健康","日均喂食260g | 体重11.3kg(标准) | 食欲增加","日均外出3次共70分钟 | 短时外出 | 保暖","2025-12"
"1004","布偶 | 4岁 | 85㎡三居","体检正常 | 毛球症预防中 | 泪痕无","日均喂食72g | 体重4.4kg(标准) | 饮水正常","活动量下降 | 化毛膏规律 | 全天暖气","2025-12"
"1005","泰迪 | 8岁 | 120㎡","牙齿健康 | 心脏B1期 | 关节僵硬冬季加重","日均喂食145g | 体重5.7kg(标准) | 饮水正常","日均外出2次共40分钟 | 短时外出 | 关节护理加强","2025-12"
"1006","边牧 | 2岁 | 150㎡别墅","体检全项优秀 | 体能充沛 | 无异常","日均喂食435g | 体重19.6kg(标准) | 饮水充足","日均活动110分钟+ | 室内为主 | 注意保暖","2025-12"
"1007","美短 | 1岁 | 55㎡一居","体检正常 | 体重标准 | 牙齿健康","日均喂食62g | 体重4.0kg(标准) | 饮水正常","活泼好动 | 喜暖 | 烤火","2025-12"
"1008","比熊 | 6岁 | 100㎡三居","白内障稳定 | 牙齿良好 | 皮肤干燥(冬季)","日均喂食180g | 体重5.1kg(标准) | 饮水正常","日均外出2次共45分钟 | 短时外出 | 增加护肤","2025-12"
"1009","橘猫 | 7岁 | 80㎡两居","体重标准 | 关节僵硬冬季偶发 | 牙齿需关注","日均喂食63g | 体重5.1kg(标准) | 饮水正常","活动量下降 | 嗜暖 | 关节补充剂","2025-12"
"1010","拉布拉多 | 4岁 | 130㎡四居","耳道健康 | 髋关节良好 | 牙齿健康","日均喂食385g | 体重28.0kg(标准) | 饮水充足","日均外出2次共95分钟 | 短时外出 | 保暖","2025-12"
