# 宠物维护保养200条（纯保养维度，分通用基础/饮食喂养/日常清洁/健康养护/环境适配/长期外出/疾病预防，覆盖猫狗通用全场景日常维护）
## 通用基础护理（50条）
50. 日常遵循轻拿轻放、科学喂养、及时护理原则，延长宠物健康寿命。
## 饮食喂养护理（30条）
1. 每日定时定量喂食，成年猫狗一般早晚各一顿，喂食间隔稳定。
2. 喂食前检查主粮是否变质、结块、过期，开封后密封避光存放。
3. 干粮开封后尽量1-2个月内用完，避免氧化和受潮影响品质。
4. 湿粮/罐头开封后冷藏保存，24小时内喂完，剩食及时清理。
5. 冻干喂食前确认无受潮、变质，用干净手或工具取用，避免污染。
6. 换粮时新旧粮按比例混合，7天左右逐步过渡，观察便便情况。
7. 不同阶段宠物（幼/成/老）使用对应阶段粮，营养需求不同。
8. 猫咪需保证充足饮水，用流动饮水机或多放水碗，预防泌尿问题。
9. 狗粮喂食量按体重和活动量计算，避免肥胖和营养不良。
10. 食盆选择陶瓷或不锈钢材质，避免塑料盆藏菌和致下巴粉刺。
11. 喂食后及时清洗食盆，避免残渣变质吸引蚊虫、滋生细菌。
12. 零食每日控制不超过总热量10%，避免影响正餐食欲。
13. 避免喂食巧克力、洋葱、葡萄、木糖醇等有毒食物，放在宠物够不到处。
14. 不给宠物喂人类餐桌剩菜，高盐高油易致病，坚持宠物专用粮。
15. 生食喂养需专业指导，注意冷冻除虫、卫生处理，普通家庭不推荐。
16. 宠物挑食时定时收碗、减少零食，不因心软纵容挑食习惯。
17. 饮水机/水碗每周彻底清洗，防止水垢和细菌影响饮水量。
18. 怀孕、哺乳期宠物加强营养，喂幼宠粮或孕期专用粮，遵医嘱。
19. 老年宠物饮食易消化、控热量，必要时加护关节、护肾脏的营养。
20. 术后/生病康复期喂易消化食物，少食多餐，遵医嘱调整饮食。
21. 添加鱼油、益生菌等营养品前先咨询兽医，避免盲目补充。
22. 换季食欲变化属正常，但持续超过2天需排查健康问题。
23. 避免宠物在进食后立即剧烈运动，防止胃扭转（尤其大型犬）。
24. 多宠家庭分开喂食，避免抢食和护食，保证每只宠物吃饱。
25. 外出旅行携带宠物熟悉的主粮，避免突然换粮导致肠胃不适。
26. 夏季食物易变质，剩食及时清理，湿粮不要放置过久。
27. 冬季可适当增加优质蛋白摄入，帮助宠物御寒（遵医嘱）。
28. 每月检查宠物牙齿，牙结石严重时安排专业洁牙，注意口腔卫生。
29. 饮水不足的猫可通过湿粮、肉汤增加水分摄入，预防泌尿结石。
30. 体重管理：每月称重记录，超重宠物在兽医指导下科学减重。
## 日常清洁护理（40条）
1. 每日清理猫砂盆1-2次，保持猫砂清洁，减少泌尿问题和异味。
2. 每周彻底更换猫砂并清洗猫砂盆，晾干后再添加新猫砂。
3. 狗外出回家后擦拭爪子和身体，防止把尘土、虫卵带回家。
4. 定期清洗宠物窝垫、毛毯，晒干除螨，防止皮肤病。
5. 梳毛时从顺毛方向梳理，遇到毛结用手或解结梳轻柔处理。
6. 洗澡用宠物专用香波，温水打泡，避开眼耳口鼻，彻底冲洗。
7. 洗澡后立即吹干毛发（尤其长毛和猫），防止受凉和皮肤病。
8. 剪指甲用宠物专用指甲剪，避开血线，剪后适当奖励安抚。
9. 清理耳朵用宠物专用洗耳液滴入耳道，轻揉后让宠物甩出脏污。
10. 擦拭眼睛用宠物专用湿巾或生理盐水棉片，每只眼睛用独立棉片。
11. 刷牙用宠物专用牙刷和可吞咽牙膏，循序渐进，坚持每日或隔日。
12. 定期清理肛门腺（尤其狗），堵塞时由专业人士操作，避免感染。
13. 清洗食盆水盆用中性洗涤剂，每周高温消毒一次，晾干使用。
14. 清洁玩具：毛绒玩具可机洗，橡胶玩具用温水清洗，定期消毒。
15. 清洁牵引绳、胸背带，出汗脏污后及时清洗晾干。
16. 定期清洁猫爬架、猫抓板，除尘除毛，防止寄生虫滋生。
17. 宠物活动区域定期吸毛、拖地，使用宠物安全消毒剂。
18. 宠物异味处理：先找源头（口腔/耳道/皮肤/排泄区），再对症清理。
19. 掉毛季节勤梳毛，配合适量鱼油和营养支持，减少浮毛。
20. 宠物脚底毛定期修剪（尤其长毛犬），防止打滑和藏污纳垢。
21. 清洁宠物眼周泪痕，用专用泪痕液和棉片轻柔擦拭，保持干燥。
22. 定期检查并清理宠物外耳道毛发，减少耳道疾病。
23. 狗爪垫干裂时涂抹宠物专用润爪膏，冬季注意保护。
24. 宠物用品消毒后彻底晾干，避免残留消毒剂刺激皮肤。
25. 清洁宠物鼻子，用湿棉片轻拭，保持鼻头湿润（观察健康状态）。
26. 定期清洗宠物饮水机滤芯，防止细菌和杂质影响水质。
27. 宠物换毛期加强梳理，减少毛发进入消化道引起毛球。
28. 猫毛球症预防：定期喂化毛膏或猫草，勤梳毛减少吞入毛发。
29. 清洁宠物耳朵周围毛发，防止毛发刺激和藏污。
30. 定期给宠物梳理腹部，检查有无肿块、蜱虫、伤口。
31. 宠物外出回来先检查全身再放它活动，防止带回跳蚤。
32. 清洁宠物时动作轻柔，避免宠物抗拒产生应激。
33. 定期清洗宠物背包、航空箱，消毒晾晒后存放。
34. 宠物食盆下铺防滑垫，减少进食时食物散落和清洁难度。
35. 定期清洁宠物饮水嘴（兔、仓鼠等小宠），防止堵塞污染。
36. 宠物毛毯、窝垫每月用除螨喷雾处理（宠物安全型）。
37. 清理宠物粪便后及时洗手，保持个人卫生，防止人宠共患病。
38. 宠物皮肤褶皱处（如斗牛犬面部）定期清洁，防止皮炎。
39. 定期给宠物清理尾巴根部和会阴部毛发，防止脏污粘连。
40. 综合清洁频率按季节和环境调整，多尘/多毛环境适当增加频次。
## 健康养护专项（30条）
1. 疫苗：幼宠首免后按程序接种，成年后每年加强，记录接种日期。
2. 狂犬疫苗：按当地规定每年或每三年接种，外出多的宠物务必接种。
3. 体内驱虫：每3个月一次，口服或滴剂，遵说明书和体重用药。
4. 体外驱虫：每月一次，滴在皮肤上，注意前后几天不洗澡。
5. 定期体检：成年每年1次，7岁以上老年宠每半年1次。
6. 体检项目：基础检查、血常规、生化、便检、B超/影像，按需增减。
7. 口腔护理：坚持刷牙，牙结石明显时安排专业洁牙。
8. 耳朵护理：定期检查清理，异味、摇头抓耳时及时就医。
9. 眼睛护理：分泌物异常、眼红时就医，不自行乱滴眼药。
10. 皮肤护理：发现红疹、脱屑、异常掉毛及时就医，不自行用药。
11. 关节养护：老年/大型犬注意体重控制和关节营养，防滑防摔。
12. 心脏养护：老年宠物定期听诊检查，运动适度，避免剧烈。
13. 肾脏养护：保证饮水、定期生化检查，发现异常及时干预。
14. 泌尿养护：猫尤其注意饮水和猫砂盆卫生，预防尿闭。
15. 消化养护：规律进食、少吃多餐，肠胃敏感宠物选易消化粮。
16. 体重管理：每月称重，超重/过瘦都需在兽医指导下调整。
17. 毛发养护：勤梳毛，必要时补充鱼油，皮肤问题早治疗。
18. 爪子养护：定期剪指甲，检查肉垫，外出后清洁。
19. 免疫建立：幼宠疫苗前减少外出和接触陌生动物。
20. 驱虫记录：建立档案，标注体内外驱虫时间和下次日期。
21. 生病康复：遵医嘱用药，不自行停药或加量，定期复查。
22. 慢性病管理：糖尿病、肾病等遵医嘱饮食和用药，定期监测。
23. 绝育术后：戴伊丽莎白圈防舔伤口，限制运动，观察伤口愈合。
24. 孕期保健：加强营养但不过量，产前做好产房和接产准备。
25. 老龄护理：环境减少落差，增加保暖和易用设施（缓坡、软垫）。
26. 应激管理：环境变化时安抚，提供安全藏身处，避免强刺激。
27. 体温监测：怀疑发热时用宠物肛温计测量（正常38-39℃）。
28. 呼吸监测：安静时观察呼吸频率和深浅，异常及时就医。
29. 心率监测：老年宠物定期听诊，心律不齐及时就医。
30. 建立宠物健康档案，记录所有检查、疫苗、驱虫和用药信息。
## 环境适配维护（20条）
1. 多毛环境：勤梳毛、勤吸地，宠物毛毯每周清洗，减少浮毛。
2. 南方潮湿/回南天：注意宠物窝垫除湿晾晒，防皮肤病和霉菌。
3. 北方干燥：注意宠物鼻腔和皮肤保湿，冬季注意保暖。
4. 夏季高温：避免高温时段外出，提供阴凉和充足饮水，防中暑。
5. 冬季低温：给短毛/小型宠物加保暖垫，取暖设备注意安全。
6. 多宠家庭：资源（食盆、水盆、猫砂盆、窝）数量=宠物数+1。
7. 有幼儿家庭：保持宠物用品清洁，监督互动，防止误伤。
8. 有过敏人群家庭：勤打扫、勤梳毛、使用空气净化器，考虑低敏宠物。
9. 高楼层养猫：务必封窗装防护网，杜绝坠楼风险。
10. 一楼/带院家庭：检查院子围栏，防止宠物走失和接触毒物。
11. 有绿化家庭：检查植物是否对宠物有毒，有毒植物移走或隔离。
12. 装修后入住：通风散味，避免宠物接触甲醛和装修粉尘。
13. 搬家/换环境：给宠物适应期，保持作息稳定，提供熟悉物品。
14. 新添家庭成员（婴儿/其他宠物）：渐进式介绍，防应激。
15. 开放阳台：宠物活动区域做好防护，防止攀爬坠楼。
16. 长毛地毯环境：勤吸毛清洁，防止宠物毛发和螨虫滋生。
17. 木质地板环境：宠物脚爪勤剪，防止抓伤地板。
18. 庭院/户外活动：定期驱虫，检查蜱虫，活动后清洁身体。
19. 空调房：避免温差过大，风口不要直吹宠物。
20. 厨房/卫生间：设置围栏或限制进入，防止接触危险品和积水。
## 长期外出/暂离维护（20条）
1. 外出前：备足主粮、饮水和猫砂/尿垫，使用自动喂食器、饮水器。
2. 短期离家（1-2天）：确认自动设备容量足够，猫砂盆清理干净。
3. 中长期离家（3天以上）：安排亲友上门或寄养，不独自留宠。
4. 寄养选择：考察寄养环境、卫生和口碑，确认疫苗驱虫齐全。
5. 上门喂养：约定固定时间，交代喂养量、用药、异常处理联系方式。
6. 离家前：给宠物剪指甲、梳理毛发，减少寄养期护理负担。
7. 离家前：全面体检和疫苗驱虫确认，携带健康证明（如需要）。
8. 准备宠物熟悉物品（窝垫、玩具、旧衣物），减少应激。
9. 留下紧急联系人：兽医电话、宠物医院地址、主人联系方式。
10. 自动喂食器提前测试，确认出粮正常、电量充足。
11. 饮水多放几个水碗/使用大容量饮水器，防止断水。
12. 猫砂盆多备几个或使用超大号，保证几天内不用清理。
13. 摄像头/智能设备可远程查看宠物状态，异常及时联系。
14. 告知邻居/物业帮忙留意，避免意外情况无人处理。
15. 外出期间保持宠物熟悉的作息，减少改变。
16. 长期出差（1个月以上）：考虑专业寄养或朋友长期代养。
17. 代养交接：书面交代喂养、用药、习惯、禁忌和紧急处理。
18. 返家后：观察宠物精神状态和身体状况，及时补疫苗驱虫（如到期）。
19. 返家后：清洁宠物用品和环境，检查有无应激或健康问题。
20. 建立外出护理清单，每次出行前逐项核对，避免遗漏。
## 疾病预防维护（10条）
1. 按时接种疫苗，是预防传染病最经济有效的手段。
2. 定期体内外驱虫，阻断寄生虫和部分人宠共患病。
3. 保持环境清洁通风，减少病原体滋生和传播。
4. 均衡饮食、适量运动，增强宠物自身免疫力。
5. 定期体检，早发现早干预，避免小病拖成大病。
6. 避免接触病患动物和流浪动物，减少交叉感染风险。
7. 观察宠物日常，发现异常（食欲、精神、排便）及时处理。
8. 合理控制体重，预防肥胖相关的糖尿病、关节病等。
9. 做好口腔护理，预防牙周病引发的心脏、肾脏问题。
10. 建立宠物健康档案，记录疫苗、驱虫、体检和用药历史，科学预防。
